"","species_name","order","family","genus","species","max_longevity_d","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","maturity_d","female_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","generation_length_d","dispersal_km","hibernation_torpor","fossoriality","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","habitat_breadth_n","maximum.longevity..yrs.","specimen.origin","sample.size","data.quality"
"359","Gulo_gulo","Carnivora","Mustelidae","Gulo","gulo",7117.5,12792.49,81.077,810,756.6,756.6,854.965,51.438,2.84,0.5,729.625,90.53,83.64,2622.302,4.307,0,1,0,100,0,2,1,0,0,1,0,4,19.5,"captivity","medium","acceptable"
"362","Hapalemur_griseus","Primates","Lemuridae","Hapalemur","griseus",8504.5,1202.71,13.903,396.5,1003.17,880.513,996.45,141.24,1.2,1.1,332.562,45.2,147,3285,1.173,0,2,0,0,100,1,3,0,0,1,0,1,23.3,"captivity","small","acceptable"
"369","Hemiechinus_auritus","Eulipotyphla","Erinaceidae","Hemiechinus","auritus",2774,369.5,1.9,245,213.026,213.026,251.09,38.349,4,1,364.75,10,36,940.394,0.613,1,1,30,50,20,2,1,0,0,1,0,3,7.6,"captivity","small","acceptable"
"372","Herpestes_javanicus","Carnivora","Herpestidae","Herpestes","javanicus",6059,775,7.501,465.01,166.84,301,215.58,49,2.21,2,151.436,25.92,50,1472.701,5.737,0,1,30,60,10,3,2,0,0,1,0,8,16.6,"captivity","small","acceptable"
"377","Hippopotamus_amphibius","Cetartiodactyla","Hippopotamidae","Hippopotamus","amphibius",22338,2640000,630.667,5050,2030,1654.5,1460,234.685,1,0.61,629.339,40000,334.37,3650,80.758,0,1,0,0,100,1,1,1,1,1,0,5,61.2,"captivity","large","acceptable"
"379","Hippotragus_equinus","Cetartiodactyla","Bovidae","Hippotragus","equinus",9453.5,233500,386.364,1910,841.82,730,1049.37,283.832,1,1.18,323.778,15167,182.808,3070.224,21.275,0,1,0,0,100,1,3,0,0,1,0,3,25.9,"captivity","medium","acceptable"
"380","Hippotragus_niger","Cetartiodactyla","Bovidae","Hippotragus","niger",8121.25,225000,282,2352.5,972.17,768,983.37,271,1,1,364.75,16375,213,3053.355,20.845,0,1,0,0,100,1,3,0,0,1,0,2,22.2,"captivity","large","high"
"383","Hyaena_hyaena","Carnivora","Hyaenidae","Hyaena","hyaena",9125,35070.51,101.577,1147.35,928.08,855.556,1018.33,90.5,2.5,1.36,236.963,669.5,279,3351.043,7.499,0,1,10,80,10,2,2,0,0,1,0,2,25,"captivity","medium","acceptable"
"385","Hydrochoerus_hydrochaeris","Rodentia","Caviidae","Hydrochoerus","hydrochaeris",5511.5,51572.455,67.333,1254.195,566.36,457.792,716.725,150.73,3.485,1.25,244.832,1500,103,2030.354,9.271,0,2,0,0,100,1,3,1,0,1,0,3,15.1,"captivity","large","high"
"386","Hydromys_chrysogaster","Rodentia","Muridae","Hydromys","chrysogaster",2664.5,738.085,4.33,312.76,124.43,163,158,36,3.8,2.12,60.374,24.39,30,824.903,5.601,0,1,50,50,0,3,2,0,0,1,0,4,7.3,"captivity","medium","acceptable"
"393","Hylobates_pileatus","Primates","Hylobatidae","Hylobates","pileatus",20805,5656.805,90.5,545,2454.24,2555,2771.243,216.243,1,0.5,1038.624,316.455,600.502,5475,2.749,0,2,10,0,90,2,3,0,0,1,0,1,38,"captivity","medium","acceptable"
"396","Hystrix_africaeaustralis","Rodentia","Hystricidae","Hystrix","africaeaustralis",8431.5,14936.02,36.996,930,438.45,438.45,532.195,93.49,2.1,1.67,376.742,331.15,77,2713.298,4.69,0,1,0,0,100,1,1,0,0,1,0,4,23.1,"captivity","medium","acceptable"
"402","Ictonyx_striatus","Carnivora","Mustelidae","Ictonyx","striatus",5252.958,811.02,9.854,359.5,447.7,304,304.16,36.523,2.17,1,364.75,13.69,79,1650.809,5.866,0,1,40,60,0,3,1,0,0,1,0,4,14,"captivity","tiny","acceptable"
"405","Isoodon_macrourus","Peramelemorphia","Peramelidae","Isoodon","macrourus",2482,1551,4.453,422.09,184.92,153.46,148,12.255,3.565,2.66,59.209,0.179,61.495,623.745,1.349,0,1,100,0,0,2,1,0,0,1,0,5,6.8,"captivity","small","acceptable"
"406","Isoodon_obesulus","Peramelemorphia","Peramelidae","Isoodon","obesulus",2372.5,717,4.03,350,171.1,190.55,186.1,15,2.53,2.2,127.288,0.345,60.995,683.312,5.522,0,1,100,0,0,3,1,0,0,1,0,4,6.5,"captivity","small","acceptable"
"410","Kobus_ellipsiprymnus","Cetartiodactyla","Bovidae","Kobus","ellipsiprymnus",11080.792,175333,314,2350,1426.44,771.124,1693.44,270,1.05,1.1,364.75,9000,213,3821.39,18.173,0,1,0,0,100,1,2,0,0,1,0,4,30,"captivity","large","high"
"421","Lagothrix_lagotricha","Primates","Atelidae","Lagothrix","lagothricha",11750.719,6263.69,96.554,611.195,1729.33,2480.23,2766.7,223.99,1,0.5,638.313,300,352,5475,2.908,0,2,7.5,0,92.5,2,3,0,0,1,0,2,32,"captivity","medium","acceptable"
"423","Lama_guanicoe","Cetartiodactyla","Camelidae","Lama","guanicoe",22435.333,112500,255.857,1747.55,676.66,676.66,700,337.55,1,0.685,547.375,9999.995,213.026,4064.145,14.238,0,1,0,0,100,1,3,0,0,1,0,2,33.7,"captivity","large","high"
"427","Lasiorhinus_latifrons","Diprotodontia","Vombatidae","Lasiorhinus","latifrons",10913.5,26163.8,55.5,927.5,631.37,589.185,652.24,20.87,1,1.1,364.75,0.495,319.035,3354.315,6.383,0,1,0,0,100,1,1,0,0,1,0,2,29.9,"captivity","medium","acceptable"
"432","Lemur_catta","Primates","Lemuridae","Lemur","catta",13614.5,2555,21.742,425,831.62,674.145,866.87,134.838,1.105,0.964,416.42,70.6,152,2920,1.776,0,2,0,0,100,1,3,0,0,1,0,2,37.3,"captivity","large","high"
"433","Leontocebus_fuscicollis","Primates","Callitrichidae","Leontocebus","fuscicollis",9088.5,393.99,8.275,310,406.61,546,850.45,148,1.8,1,247.58,39.6,91,3218.314,0.635,0,2,34.5,7,58.5,2,3,0,0,1,0,1,24.9,"captivity","medium","acceptable"
"434","Leontocebus_nigricollis","Primates","Callitrichidae","Leontocebus","nigricollis",7373,450,8.9,310,850.45,850.45,850.45,140,1.8,2.9,250.828,43.58,82.177,2477.365,0.683,0,2,40,0,60,2,3,0,0,1,0,1,20.2,"captivity","tiny","acceptable"
"435","Leontopithecus_chrysomelas","Primates","Callitrichidae","Leontopithecus","chrysomelas",11534,582.66,11.81,298.11,692.051,654.102,786.499,132.397,1.95,1.75,185.623,55.07,130.875,2555,0.788,0,2,50,0,50,2,3,0,0,1,0,1,21.3,"captivity","large","acceptable"
"437","Leontopithecus_rosalia","Primates","Callitrichidae","Leontopithecus","rosalia",11534,623.51,13.594,298.11,890.34,654.102,868.7,132.397,1.95,1.75,185.623,55.07,130.875,3601.747,0.817,0,2,50,0,50,2,3,0,0,1,0,1,31.6,"captivity","large","high"
"440","Leopardus_pardalis","Carnivora","Felidae","Leopardus","pardalis",10293,10500,65.903,872.165,678.64,663.505,758.135,80.351,1.66,1,406.172,254.4,106.18,3011.876,20.573,0,1,3,81,16,3,1,0,0,1,0,3,28.2,"captivity","medium","acceptable"
"444","Leptailurus_serval","Carnivora","Felidae","Leptailurus","serval",8395,11999.96,59.027,916.255,887.95,821,851.66,71.829,2.35,2.5,179.127,254,127.831,3018.059,21.964,0,1,0,100,0,3,1,1,0,1,0,4,22.4,"captivity","large","high"
"452","Lontra_canadensis","Carnivora","Mustelidae","Lontra","canadensis",9855,8087.42,55.312,721.55,729.99,730,730,61.176,2.67,0.94,364.75,140,122,3235.117,18.103,0,1,50,50,0,3,2,1,1,1,0,5,27,"captivity","medium","acceptable"
"454","Lophocebus_albigena","Primates","Cercopithecidae","Lophocebus","albigena",13140,7000,96.084,704.775,2525.48,1752.505,1474.6,181.703,1,0.4,676.612,462.5,233,4682.913,3.091,0,2,0,0,100,1,3,0,0,1,0,1,36,"captivity","small","acceptable"
"455","Loris_tardigradus","Primates","Lorisidae","Loris","tardigradus",7044.5,243.71,6,244.245,350.76,380,547.5,167.612,1.37,1.5,235.089,11.67,158.745,2278.148,3.254,0,2,70,10,20,3,1,0,0,1,0,1,21.6,"captivity","small","acceptable"
"457","Lutra_lutra","Carnivora","Mustelidae","Lutra","lutra",8030,7809.345,45.067,753.97,700.76,548,763.395,62.635,2.035,1,364.75,110.5,57.828,2772.962,17.795,0,1,30,70,0,3,2,1,1,1,0,5,18.2,"captivity","medium","acceptable"
"459","Pseudalopex_culpaeus","Carnivora","Canidae","Lycalopex","culpaeus",4781.5,13000,53.271,960.17,377.37,365.232,437.23,60.568,4,1,364.75,167.99,60.872,1673.57,4.345,0,1,10,80,10,2,1,0,0,1,0,5,13.1,"captivity","small","acceptable"
"464","Lycaon_pictus","Carnivora","Canidae","Lycaon","pictus",6205,24249.995,133.871,1021.93,817.15,703.755,927.7,72,7.495,1,358.689,318,88.92,2034.717,31.004,0,1,0,100,0,3,2,0,0,1,0,4,17,"captivity","large","high"
"465","Lynx_canadensis","Carnivora","Felidae","Lynx","canadensis",9782,9682.82,71.233,806.15,672.9,535.674,735.65,63,3.19,1,364.75,204,152,3391.958,19.772,0,1,0,100,0,3,1,0,0,1,0,2,26.8,"captivity","medium","acceptable"
"466","Lynx_lynx","Carnivora","Felidae","Lynx","lynx",9782,21150,72.634,1075.6,739.52,639,806.015,66.495,2.25,1,364.75,258,87,3338.239,28.994,0,1,0,100,0,3,1,0,0,1,0,5,26,"captivity","large","acceptable"
"467","Lynx_rufus","Carnivora","Felidae","Lynx","rufus",11801.667,9400,60.292,950.6,668.22,639,547.5,66,2.53,1,364.75,269.5,81.85,3810.032,19.487,0,1,0,100,0,3,1,0,0,1,0,4,32.3,"captivity","medium","acceptable"
"471","Macaca_fuscata","Primates","Cercopithecidae","Macaca","fuscata",14052.5,8882.5,96.8,795.355,1460.77,1483,1879.75,174,1.415,0.5,499.988,501.57,366,5118.76,3.524,0,2,10,0,90,2,3,0,0,1,0,1,38.5,"captivity","large","high"
"478","Macaca_silenus","Primates","Cercopithecidae","Macaca","silenus",14663.875,6570,78,655.675,1912.19,1523.489,1795.8,176,1,0.7,506.348,416.11,365,5509.018,2.985,0,2,10,0,90,2,3,0,0,1,0,1,40,"captivity","large","high"
"480","Macaca_sylvanus","Primates","Cercopithecidae","Macaca","sylvanus",10621.5,10875,92.143,656.995,1542.25,1457.509,1746.52,164.42,1.5,1,398.082,450,213,2920,3.939,0,2,10,0,90,1,3,0,0,1,0,2,30,"captivity","large","high"
"484","Macropus_agilis","Diprotodontia","Macropodidae","Macropus","agilis",6168.5,13907.875,33.3,848.005,404.77,384.885,410.62,29.755,1.005,1.8,218.35,0.632,267.87,1821.073,4.509,0,1,0,0,100,1,2,0,0,1,0,2,16.9,"captivity","medium","acceptable"
"485","Macropus_antilopinus","Diprotodontia","Macropodidae","Macropus","antilopinus",8760,29647.9,58.845,1400,909.32,758.15,943.32,34,1,1.295,266.817,0.702,395.49,2584.192,6.838,0,1,0,0,100,1,2,0,0,1,0,3,19.8,"captivity","small","acceptable"
"487","Macropus_eugenii","Diprotodontia","Macropodidae","Macropus","eugenii",5511.5,5037.24,24.553,527,413.84,343.92,319.37,28.945,1.005,1,364.75,0.434,320,1766.87,2.579,0,1,0,0,100,1,2,0,0,1,0,3,15.1,"captivity","medium","acceptable"
"488","Macropus_fuliginosus","Diprotodontia","Macropodidae","Macropus","fuliginosus",8471.042,26907.35,58,1400,708.84,689.42,608.33,30.4,1,1,378.251,0.897,529.335,2718.274,6.482,0,1,0,0,100,1,2,0,0,1,0,5,23.2,"captivity","large","high"
"489","Macropus_giganteus","Diprotodontia","Macropodidae","Macropus","giganteus",9125,41454.945,69.8,1138.08,704.86,671.93,812.6,36.28,1,1,352.154,0.869,414.91,3170.271,8.222,0,1,0,0,100,1,2,0,0,1,0,5,25,"captivity","large","high"
"490","Macropus_parma","Diprotodontia","Macropodidae","Macropus","parma",5803.5,4203.31,17.4,527,600.21,512.105,380.2,34.33,0.95,1.3,212.854,0.503,297.665,1640.699,2.335,0,1,0,0,100,1,2,0,0,1,0,1,15.9,"captivity","large","high"
"492","Macropus_rufogriseus","Diprotodontia","Macropodidae","Macropus","rufogriseus",6935,16525,37.41,1050,485.19,440.095,501.87,29.5,1.005,1,276.246,0.564,306.61,2166.363,4.958,0,1,0,0,100,1,2,0,0,1,0,4,15.2,"captivity","large","acceptable"
"493","Macropus_rufus","Diprotodontia","Macropodidae","Macropus","rufus",10950,35729.195,64.646,1600,695.03,517,547.5,33,1,1.36,239.586,0.784,360,3299.6,7.577,0,1,0,0,100,1,2,0,0,1,0,5,25,"captivity","large","high"
"499","Madoqua_kirkii","Cetartiodactyla","Bovidae","Madoqua","kirkii",6314.5,4833.4,35.335,687.135,233.47,233.47,501.87,172,1,2,213.104,625.82,71,2131.079,2.521,0,1,0,0,100,1,2,0,0,1,0,1,17.3,"captivity","medium","acceptable"
"500","Mandrillus_leucophaeus","Primates","Cercopithecidae","Mandrillus","leucophaeus",14298.875,16251.65,126.3,732,1745.96,1730.287,1825,179.22,1,0.65,480.386,772,486.976,3650,4.912,0,1,10,10,80,2,3,0,0,1,0,2,39,"captivity","medium","acceptable"
"501","Mandrillus_sphinx","Primates","Cercopithecidae","Mandrillus","sphinx",16910.45,23000,172.897,761.47,2122.11,1326.66,1460,173.99,1.045,0.83,526.459,613,354,3650,5.946,0,2,10,10,80,2,3,0,0,1,0,1,40,"captivity","large","high"
"503","Marmosa_robinsoni","Didelphimorphia","Didelphidae","Marmosa","robinsoni",1825,98.5,1.296,175.06,253.82,266.41,267.735,13.915,9.75,1.5,133.908,0.09,66.315,568.638,0.296,1,2,40,30,30,2,1,0,0,1,0,2,5,"captivity","small","acceptable"
"506","Marmota_flaviventris","Rodentia","Sciuridae","Marmota","flaviventris",7738,3709.73,12.657,505.9,827.69,816.598,730,30.195,4.44,0.97,456.812,33.8,26.379,2063.71,2.18,1,1,0,0,100,1,3,0,0,1,0,2,21.2,"captivity","tiny","acceptable"
"510","Martes_americana","Carnivora","Mustelidae","Martes","americana",6935,892,16.369,415.68,456.25,456.25,365,28,2.73,1,364.75,31.3,45.73,2227.96,0.995,0,1,10,70,20,2,1,0,0,1,0,1,17.8,"captivity","tiny","acceptable"
"511","Martes_flavigula","Carnivora","Mustelidae","Martes","flavigula",6040.75,2500,35.348,599.18,1262.74,1262.74,1412.39,149.65,2.5,1.56,182.375,57.5,89.49,2642.061,1.755,0,1,10,80,10,2,3,0,0,1,0,3,16,"captivity","medium","acceptable"
"512","Martes_foina","Carnivora","Mustelidae","Martes","foina",6643,1700,21.745,499.315,742.46,548,365,30,3.78,1.05,364.75,30,66,2178.563,1.419,0,1,0,70,30,2,2,0,0,1,0,4,18.2,"captivity","small","acceptable"
"513","Martes_martes","Carnivora","Mustelidae","Martes","martes",6643,1299.995,20.846,518.505,508.47,508.47,365,30.63,3.8,1,364.75,30,56.915,2100.94,1.225,0,1,0,60,40,2,1,0,0,1,0,2,18.2,"captivity","small","acceptable"
"514","Martes_pennanti","Carnivora","Mustelidae","Martes","pennanti",5219.5,3175,33.61,689.755,413.84,413.84,730,40.48,2.92,1,364.75,34.78,76.76,1738.868,11.449,0,1,0,100,0,3,2,0,0,1,0,1,14.3,"captivity","small","acceptable"
"519","Meles_meles","Carnivora","Mustelidae","Meles","meles",6789,11884.03,53.942,802.945,420.91,403.277,469.71,49,3.11,1,364.75,84.25,92.29,2161.248,4.136,0,1,20,40,40,2,3,0,0,1,0,5,18.6,"captivity","medium","acceptable"
"522","Melursus_ursinus","Carnivora","Ursidae","Melursus","ursinus",14600,99999.99,312.674,1697.615,1262.74,1178.87,1095,198,1.54,0.63,1094.251,400,76.09,3650,13.345,0,1,70,0,30,2,2,0,0,1,0,3,33.3,"captivity","medium","acceptable"
"523","Mephitis_mephitis","Carnivora","Mephitidae","Mephitis","mephitis",5073.5,2949.995,11.316,429.775,355.18,337.485,418.325,63,5.1,1.21,364.75,33.19,60,1735.559,1.922,0,1,20,30,50,2,1,0,0,1,0,4,13.9,"captivity","medium","acceptable"
"537","Mico_argentatus","Primates","Callitrichidae","Mico","argentatus",6132,357.25,8,300,701.52,502.76,609.55,144,1.87,2.31,216.152,35.45,120,2211.061,0.602,0,2,20,20,60,1,3,0,0,1,0,2,16.5,"captivity","medium","acceptable"
"538","Mico_humeralifer","Primates","Callitrichidae","Mico","humeralifer",8318.958,299.605,8.38,300,417.5,477,448,144,2.24,2,164.287,27.43,99.01,1905.83,0.546,0,2,20,20,60,1,3,0,0,1,0,1,15,"captivity","small","acceptable"
"539","Microcebus_murinus","Primates","Cheirogaleidae","Microcebus","murinus",6643,66.9,1.797,143.61,355.53,299.265,380.2,60.34,2.41,1,218.85,6,39.783,2053.515,0.239,1,2,20,20,60,2,1,0,0,1,0,2,18.2,"captivity","medium","acceptable"
"546","Microtus_ochrogaster","Rodentia","Cricetidae","Microtus","ochrogaster",1943.625,46.7,0.71,124.435,36.19,47,58.44,22.523,3.8,4,25.982,3.02,20.392,615.402,0.197,0,1,0,0,100,2,2,0,0,1,0,3,5.3,"captivity","small","acceptable"
"547","Microtus_pinetorum","Rodentia","Cricetidae","Microtus","pinetorum",1396.125,25.5,0.56,103.025,74.82,97.7,97.315,22.827,2.89,2.7,26.007,2.32,20.696,431.446,0.141,0,1,0,0,100,1,2,0,0,1,0,3,3.8,"captivity","small","acceptable"
"550","Miopithecus_talapoin","Primates","Cercopithecidae","Miopithecus","talapoin",11278.5,1362.5,34.76,402.495,1733.36,1617.065,1598.7,164.38,1,1,730,187.5,165.267,4236.482,1.257,0,2,50,0,50,2,3,0,0,1,0,2,27.7,"captivity","medium","acceptable"
"551","Mirza_coquereli","Primates","Cheirogaleidae","Mirza","coquereli",6351,311.2,5.32,240.92,343.74,343.74,532.9,89,1.71,1,364.75,14.5,136,1825,0.558,0,2,60,10,30,2,1,0,0,1,0,1,17.4,"captivity","small","acceptable"
"558","Mungos_mungo","Carnivora","Herpestidae","Mungos","mungo",6351,1331.5,11.05,406.21,349.33,343.622,365,60.91,2.68,2,364.75,24.2,20.88,1719.88,7.479,0,1,80,20,0,3,2,0,0,1,0,2,17.4,"captivity","large","high"
"561","Mus_minutoides","Rodentia","Muridae","Mus","minutoides",1569.5,7.585,0.27,82,57.35,60,62,20.392,4.18,4,31.079,0.97,21,435.665,0.072,0,1,20,0,80,2,1,0,0,1,0,6,4.3,"captivity","medium","acceptable"
"562","Mus_musculus","Rodentia","Muridae","Mus","musculus",2190,20.5,0.443,95,64.71,53.355,139.5,19.6,6.07,4.57,29.979,1.25,21.914,628.295,0.125,0,2,20,0,80,2,1,0,0,1,0,5,4,"captivity","large","high"
"565","Mustela_erminea","Carnivora","Mustelidae","Mustela","erminea",4562.5,110.33,4.205,270.325,93.09,94.98,147.765,43.262,6.755,1,364.75,2.3,45.35,1078.778,2.207,0,1,10,90,0,3,1,0,0,1,0,6,12.5,"captivity","small","acceptable"
"567","Mustela_frenata","Carnivora","Mustelidae","Mustela","frenata",3212,170.315,4.154,247.655,200.69,162.224,225.44,24.958,6.22,1,364.75,3.1,37,986.11,2.73,0,2,0,100,0,3,2,0,0,1,0,3,8.8,"captivity","tiny","acceptable"
"568","Mustela_lutreola","Carnivora","Mustelidae","Mustela","lutreola",3650,566.44,8.806,395.385,351.71,323,323,43.74,4.5,1.1,364.75,7.6,57.22,730,4.92,0,1,20,80,0,3,2,1,0,1,0,1,8.4,"captivity","medium","acceptable"
"569","Mustela_nigripes","Carnivora","Mustelidae","Mustela","nigripes",4380,907.1,8.806,427.97,371.23,365.232,414.23,43,3.395,1.1,364.75,7.39,59.66,1497.507,6.197,0,1,0,100,0,3,1,0,0,1,0,2,9.4,"captivity","medium","acceptable"
"570","Mustela_nivalis","Carnivora","Mustelidae","Mustela","nivalis",3650,49.75,1.563,260,169.99,120,206.235,36.49,5.085,1.5,236.713,2.6,40.653,1194.194,1.494,0,1,0,100,0,3,1,0,0,1,0,7,9.1,"captivity","small","acceptable"
"571","Mustela_putorius","Carnivora","Mustelidae","Mustela","putorius",5110,809,8.714,409.46,308.5,310.25,350.245,41.49,7.68,1.26,196.116,9.5,54.39,1652.464,5.859,0,1,10,90,0,3,2,0,0,1,0,6,11.1,"captivity","large","acceptable"
"573","Myocastor_coypus","Rodentia","Myocastoridae","Myocastor","coypus",4380,7150,20.045,577.22,187.09,159.789,319.37,131.86,5.34,2.32,130.661,215.35,57.828,1311.715,3.127,0,1,0,0,100,1,1,0,0,1,0,2,19,"captivity","large","acceptable"
"574","Myodes_glareolus","Rodentia","Cricetidae","Myodes","glareolus",1794.583,20.8,0.52,109.19,40.91,47,83.22,20,4.295,3.2,21.36,1.82,20,577.751,0.126,0,2,20,0,80,2,2,0,0,1,0,2,4.9,"captivity","small","acceptable"
"605","Nandinia_binotata","Carnivora","Nandiniidae","Nandinia","binotata",7741.042,2167.2,17.912,539.255,1015,1095,1079.675,64.829,2,2,182.125,55.5,64,2850.514,1.622,0,2,10,10,80,2,1,0,0,1,0,4,21,"captivity","tiny","acceptable"
"609","Nasalis_larvatus","Primates","Cercopithecidae","Nasalis","larvatus",9161.5,13441.575,95.623,704.745,1894.11,1643.544,1642.5,167.156,1.01,0.7,543.378,452,212.63,4015,4.425,0,2,0,0,100,1,3,0,0,1,0,1,25.1,"captivity","small","acceptable"
"610","Nasua_narica","Carnivora","Procyonidae","Nasua","narica",9636,3750,44.17,630,1009.04,712,1086.45,77.916,4.17,1.1,364.75,140,127,2994.435,2.193,0,1,51,12,37,2,3,0,0,1,0,1,26.4,"captivity","medium","acceptable"
"611","Nasua_nasua","Carnivora","Procyonidae","Nasua","nasua",8650.5,4000,32.542,598.815,841.82,785.91,915.85,74.03,3.81,1.1,364.75,142.455,86,2778.436,2.272,0,2,10,20,70,2,3,0,0,1,0,2,23.7,"captivity","large","high"
"613","Neomys_fodiens","Eulipotyphla","Soricidae","Neomys","fodiens",1131.5,15.13,0.31,88.97,320.22,159.789,340.91,21.38,5.51,1.8,64.956,0.78,35.34,576.889,0.834,0,1,40,60,0,3,2,1,0,1,0,3,3.1,"captivity","small","acceptable"
"616","Neotoma_albigula","Rodentia","Cricetidae","Neotoma","albigula",3467.5,190.5,2.618,195.735,94.14,94.14,127.14,36.219,2.14,2,48.966,11.35,33.5,1019.719,0.426,0,1,10,0,90,1,1,0,0,1,0,4,9.5,"captivity","small","acceptable"
"630","Nyctereutes_procyonoides","Carnivora","Canidae","Nyctereutes","procyonoides",6059,4232,29.526,563.69,326.63,326.63,730,61.84,6.3,1,364.75,87.42,48.345,2091.937,2.344,1,1,20,40,40,2,1,0,0,1,0,4,16.6,"captivity","medium","acceptable"
"631","Nycticebus_coucang","Primates","Lorisidae","Nycticebus","coucang",9672.5,953.3,11.004,340,660.82,619.41,932.57,189.545,1.035,1,428.207,49.94,177.069,2555,1.032,0,2,40,40,20,2,1,0,0,1,0,2,25.8,"captivity","medium","acceptable"
"638","Ochotona_princeps","Lagomorpha","Ochotonidae","Ochotona","princeps",2670.583,140.2,2.39,190,374.39,347.579,404.61,30.436,3,2.11,30.184,9,26.45,1045.751,0.36,0,1,0,0,100,1,2,0,0,1,0,1,7,"captivity","small","acceptable"
"641","Odocoileus_hemionus","Cetartiodactyla","Cervidae","Odocoileus","hemionus",8030,57000,160.632,1808.25,527.12,478,547.5,207,1.615,1,364.75,2952.67,74.486,2717.425,9.796,0,1,0,0,100,1,2,0,0,1,0,9,22,"captivity","medium","acceptable"
"642","Odocoileus_virginianus","Cetartiodactyla","Cervidae","Odocoileus","virginianus",8395,65320,153.418,1806.845,365,309,463,201.39,1.71,1,303.872,3000,129,2713.883,10.558,0,1,0,0,100,1,2,0,0,1,0,9,23,"captivity","large","high"
"646","Onychomys_leucogaster","Rodentia","Cricetidae","Onychomys","leucogaster",2044,32.5,0.802,127,107.71,107.71,156.33,31.63,3.84,2.5,31.728,2.6,23,671.999,0.161,0,1,90,0,10,2,1,0,0,1,0,4,5.6,"captivity","tiny","acceptable"
"647","Onychomys_torridus","Rodentia","Cricetidae","Onychomys","torridus",2044,22,0.596,103.46,56.02,81.958,121.66,30.5,3.665,2.55,30.729,2.465,21.91,573.289,1.002,0,1,90,0,10,3,1,0,0,1,0,2,4.6,"captivity","small","acceptable"
